t_sec,rebirth_req,out_of_seq,nbirth_wire,dbirth_wire,ndata_wire,ddata_wire,ncmd_wire,valores_rows,write_errors
0,0,0,0,0,0,0,0,2843,0
30,0,0,0,0,6,72,0,2921,0
60,0,0,0,0,12,144,0,2999,0
90,0,0,0,0,18,216,0,3077,0
120,0,0,0,0,24,288,0,3155,0
150,0,0,0,0,31,362,0,3238,0
181,0,0,0,0,37,436,0,3316,0
211,0,0,0,0,43,508,0,3394,0
241,0,0,0,0,49,580,0,3472,0
271,0,0,0,0,55,652,0,3550,0
